科目分類,群,区分,科目名,クラス,担当教員,配当年次1年次,配当年次2年次,配当年次3年次,配当年次4年次,開校時期,単位数,摘要
専門教育科目(経済学科),3,応用経済分析,金融論I,,森祐司,,○,○,○,前期,2,
専門教育科目(経済学科),3,応用経済分析,金融論II,,森祐司,,○,○,○,後期,2,
専門教育科目(経済学科),3,応用経済分析,財政学I,,天羽正継,,○,○,○,前期,2,教職
専門教育科目(経済学科),3,応用経済分析,財政学Ⅱ,,天羽正継,,○,○,○,後期,2,教職
専門教育科目(経済学科),3,応用経済分析,応用計量経済学,,小林徹*,,,○,○,後期,2,
専門教育科目(経済学科),3,応用経済分析,国際経済学Ⅰ,,藤井孝宗,,,○,○,前期,2,教職
専門教育科目(経済学科),3,応用経済分析,国際経済学Ⅱ,,藤井孝宗,,,○,○,後期,2,教職
専門教育科目(経済学科),3,応用経済分析,環境経済学I,,山本芳弘,,,○,○,前期,2,
専門教育科目(経済学科),3,応用経済分析,環境経済学Ⅱ,,山本芳弘,,,○,○,後期,2,
専門教育科目(経済学科),3,応用経済分析,国際金融論,,齋藤弘,,,○,○,前期,2,「国際金融論」の単位修得者は履修できない
専門教育科目(経済学科),3,応用経済分析,公共経済学Ⅰ,,岡田知之,,,○,○,前期,2,
専門教育科目(経済学科),3,応用経済分析,公共経済学Ⅱ,,岡田知之,,,○,○,後期,2,
専門教育科目(経済学科),3,応用経済分析,経済政策論Ⅰ,,溝口哲郎,,,○,○,前期,2,
専門教育科目(経済学科),3,応用経済分析,経済政策論Ⅱ,,溝口哲郎,,,○,○,後期,2,
専門教育科目(経済学科),3,応用経済分析,労働経済学Ⅰ,,小林徹*,,,○,○,前期,2,
専門教育科目(経済学科),3,応用経済分析,労働経済学II,,小林徹*,,,○,○,後期,2,
専門教育科目(経済学科),3,応用経済分析,都市経済学,,村山透,,,○,○,前期,2,
専門教育科目(経済学科),4,経済史・思想史,経済史概論I,,唐澤達之,○,○,○,○,前期,2,教職
専門教育科目(経済学科),4,経済史・思想史,経済史概論II,,唐澤達之,○,○,○,○,後期,2,教職
専門教育科目(経済学科),4,経済史・思想史,日本近世経済史,,富澤一弘,○,○,○,○,前期,2,教職
専門教育科目(経済学科),4,経済史・思想史,日本近代経済史,,富澤一弘,○,○,○,○,後期,2,教職
専門教育科目(経済学科),4,経済史・思想史,西洋経済史,,唐澤達之,○,○,○,○,前期,2,教職
専門教育科目(経済学科),4,経済史・思想史,アジア経済史,,高橋文紀,○,○,○,○,前期,2,教職
専門教育科目(経済学科),4,経済史・思想史,日本史特講,,鈴木敏弘,○,○,○,○,後期,2,教職
専門教育科目(経済学科),4,経済史・思想史,世界史特講,,竹内洋介,○,○,○,○,前期,2,教職
専門教育科目(経済学科),4,経済史・思想史,社会経済学Ⅰ,,徐成优,,○,○,○,前期,2,
専門教育科目(経済学科),4,経済史・思想史,社会経済学Ⅱ,,徐成优,,○,○,○,後期,2,
専門教育科目(経済学科),4,経済史・思想史,日本経済思想史,,青柳淳子,,○,○,○,後期,2,
専門教育科目(経済学科),4,経済史・思想史,社会思想,,谷川卓,,○,○,○,後期,2,教職
専門教育科目(経済学科),4,経済史・思想史,日本中世農業史,,富澤一弘,,○,○,○,前期,2,
専門教育科目(経済学科),4,経済史・思想史,日本近世農業史,,富澤一弘,,○,○,○,前期,2,
専門教育科目(経済学科),4,経済史・思想史,現代資本主義論I,,青柳淳子,,○,○,○,前期,2,
専門教育科目(経済学科),4,経済史・思想史,現代資本主義論II,,青柳淳子,,○,○,○,後期,2,
専門教育科目(経済学科),4,経済史・思想史,現代経済思想I,,中路敬,,,○,○,前期,2,
専門教育科目(経済学科),4,経済史・思想史,現代経済思想Ⅱ,,中路敬,,,○,○,後期,2,
専門教育科目(経済学科),4,経済史・思想史,経済学史I,,中路敬,,,○,○,前期,2,教職
専門教育科目(経済学科),4,経済史・思想史,経済学史Ⅱ,,中路敬,,,○,○,後期,2,教職
専門教育科目(経済学科),5,経済事情と制度,世界経済論I,,矢野修一,○,○,○,○,前期,2,
専門教育科目(経済学科),5,経済事情と制度,世界経済論II,,矢野修一,○,○,○,○,後期,2,
専門教育科目(経済学科),5,経済事情と制度,行政法I,,藤井正希*,○,○,○,○,前期,2,
専門教育科目(経済学科),5,経済事情と制度,行政法II,,藤井正希*,○,○,○,○,後期,2,
専門教育科目(経済学科),5,経済事情と制度,日本経済論Ⅰ,,江崎康弘*,○,○,○,○,前期,2,
専門教育科目(経済学科),5,経済事情と制度,日本経済論Ⅱ,,江崎康弘*,○,○,○,○,後期,2,
専門教育科目(経済学科),5,経済事情と制度,社会政策論,,鶴田禎人,○,○,○,○,前期,2,教職
専門教育科目(経済学科),5,経済事情と制度,社会学特講,,名和賢美,○,○,○,○,後期,2,教職
専門教育科目(経済学科),5,経済事情と制度,経済地理学Ⅰ,,根岸海馬,,○,○,○,前期,2,教職
専門教育科目(経済学科),5,経済事情と制度,経済地理学II,,根岸海馬,,○,○,○,前期,2,教職
専門教育科目(経済学科),5,経済事情と制度,経済システム論,,徐成优,,○,○,○,後期,2,
専門教育科目(経済学科),5,経済事情と制度,中国経済論Ⅰ,,高橋文紀,,○,○,○,前期,2,
専門教育科目(経済学科),5,経済事情と制度,中国経済論Ⅱ,,高橋文紀,,○,○,○,後期,2,
専門教育科目(経済学科),5,経済事情と制度,アジア経済論,,矢野修一,,○,○,○,後期,2,
専門教育科目(経済学科),5,経済事情と制度,開発経済論,,矢野修一,,○,○,○,前期,2,
専門教育科目(経済学科),5,経済事情と制度,農業経済論Ⅰ,,古家淳,,○,○,○,前期,2,
専門教育科目(経済学科),5,経済事情と制度,農業経済論Ⅱ,,古家淳,,○,○,○,後期,2,
専門教育科目(経済学科),5,経済事情と制度,中小企業論,,森祐司,,○,○,○,前期,2,
専門教育科目(経済学科),5,経済事情と制度,地域経済論,,村山透,,○,○,○,後期,2,
専門教育科目(経済学科),5,経済事情と制度,社会保障原理,,鶴田禎人,,○,○,○,前期,2,教職
専門教育科目(経済学科),5,経済事情と制度,社会保障制度論,,鶴田禎人,,○,○,○,後期,2,教職
専門教育科目(経済学科),5,経済事情と制度,経済法I,,王威,,,○,○,前期,2,
専門教育科目(経済学科),5,経済事情と制度,経済法Ⅱ,,王威,,,○,○,後期,2,
専門教育科目(経済学科),5,経済事情と制度,地方財政論I,,清水浩和*,,,○,○,前期,2,
専門教育科目(経済学科),5,経済事情と制度,地方財政論II,,清水浩和*,,,○,○,後期,2,
専門教育科目(経済学科),5,経済事情と制度,近代経済学I,,中路敬,,,○,○,前期,2,
専門教育科目(経済学科),5,経済事情と制度,近代経済学Ⅱ,,中路敬,,,○,○,後期,2,
専門教育科目(経済学科),5,経済事情と制度,地域の金融と経済,,東和銀行*,,○,○,○,前期,2,東和銀行寄附講座
専門教育科目(経済学科),5,経済事情と制度,特別講義(経済学),,経済学科長*,,○,○,○,前期,2,
専門教育科目(経営学科),1,基礎科目,経営学総論,,井上真由美,○,○,○,○,前期,2,教職
専門教育科目(経営学科),1,基礎科目,経営学史,,永田瞬,○,○,○,○,前期,2,
専門教育科目(経営学科),1,基礎科目,産業史,,三嶋恒平,○,○,○,○,後期,2,
専門教育科目(経営学科),1,基礎科目,日本産業史,,三嶋恒平,○,○,○,○,後期,2,
専門教育科目(経営学科),1,基礎科目,特別講義(経営学),,経営学科長*,,○,○,○,後期,2,
専門教育科目(経営学科),1,基礎科目,戦後日本経営史,,加藤健太,○,○,○,○,前期,2,
専門教育科目(経営学科),1,基礎科目,戦前期日本経営史,,加藤健太,○,○,○,○,前期,2,
専門教育科目(経営学科),1,基礎科目,外国経営史,,加藤健太,○,○,○,○,後期,2,
専門教育科目(経営学科),1,基礎科目,企業論,,井上真由美,○,○,○,○,前期,2,
専門教育科目(経営学科),1,基礎科目,マーケティング入門,,三富悠紀*,○,○,○,○,前期,2,教職
専門教育科目(経営学科),1,基礎科目,経営管理論,,藤本哲,○,○,○,○,前期,2,
専門教育科目(経営学科),1,基礎科目,経営統計,,石田崇,○,○,○,○,前期,2,教職
専門教育科目(経営学科),1,基礎科目,簿記論A,,中村彰良,○,○,○,○,前期,4,教職
専門教育科目(経営学科),1,基礎科目,簿記論B,,張滿月,○,○,○,○,後期,4,教職
専門教育科目(経営学科),1,基礎科目,会計学入門,,高橋克幸,○,○,○,○,前期,2,教職
専門教育科目(経営学科),2,戦略とマーケティング,経営戦略論,,関根雅則,,,○,○,前期,2,
専門教育科目(経営学科),2,戦略とマーケティング,イノベーション論,,関根雅則,○,○,○,○,前期,2,
専門教育科目(経営学科),2,戦略とマーケティング,国際ビジネス概論,,清水さゆり,,○,○,○,後期,2,教職
専門教育科目(経営学科),2,戦略とマーケティング,多国籍企業論,,清水さゆり,,,○,○,前期,2,
専門教育科目(経営学科),2,戦略とマーケティング,国際経営論,,清水さゆり,,○,○,○,前期,2,
専門教育科目(経営学科),2,戦略とマーケティング,流通システム論,,金艷華,,○,○,○,前期,2,教職
専門教育科目(経営学科),2,戦略とマーケティング,マーケティングⅡ,,三富悠紀*,,○,○,○,後期,2,教職
専門教育科目(経営学科),2,戦略とマーケティング,小売マーケティング,,三富悠紀*,,○,○,○,前期,2,教職
専門教育科目(経営学科),2,戦略とマーケティング,消費者行動論,,佐藤敏久,○,○,○,○,前期,2,
専門教育科目(経営学科),2,戦略とマーケティング,マーケティング・コミュニケーション,,佐藤敏久,,,○,○,前期,2,教職
専門教育科目(経営学科),2,戦略とマーケティング,マーケティング・リサーチ,,佐藤敏久,,,○,○,後期,2,
専門教育科目(経営学科),2,戦略とマーケティング,サプライチェーン・マネジメント,,金艷華,,,○,○,後期,2,教職
専門教育科目(経営学科),2,戦略とマーケティング,ロジスティクス論,,金艷華,,○,○,○,後期,2,教職
専門教育科目(経営学科),2,戦略とマーケティング,貿易論,,里見泰啓,,○,○,○,後期,2,教職
専門教育科目(経営学科),3,組織とマネジメント,コーポレート・ガバナンス,,井上真由美,,,○,○,後期,2,
専門教育科目(経営学科),3,組織とマネジメント,経営組織論,,藤本哲,,○,○,○,後期,2,
専門教育科目(経営学科),3,組織とマネジメント,組織行動論,,藤本哲,,,○,○,前期,2,
専門教育科目(経営学科),3,組織とマネジメント,産業社会学,,向由子,○,○,○,○,前期,2,
専門教育科目(経営学科),3,組織とマネジメント,産業・組織心理学,,吉村健志*,○,○,○,○,前期,2,
専門教育科目(経営学科),3,組織とマネジメント,生産管理,,向井悠一朗,,○,○,○,前期,2,
専門教育科目(経営学科),3,組織とマネジメント,人的資源管理,,永田瞬,,○,○,○,後期,2,
専門教育科目(経営学科),3,組織とマネジメント,経営労務論,,永田瞬,,○,○,○,前期,2,
専門教育科目(経営学科),3,組織とマネジメント,経営科学,,神宮貴子,,○,○,○,後期,2,
専門教育科目(経営学科),3,組織とマネジメント,経営情報論,,関川弘*,○,○,○,○,前期,2,教職
専門教育科目(経営学科),3,組織とマネジメント,経営情報システム論,,関川弘*,○,○,○,○,後期,2,
専門教育科目(経営学科),3,組織とマネジメント,経営工学,,向井悠一朗,○,○,○,○,後期,2,
専門教育科目(経営学科),3,組織とマネジメント,技術経営,,向井悠一朗,,,○,○,前期,2,
専門教育科目(経営学科),3,組織とマネジメント,情報処理I,,石田崇,,○,○,○,前期,2,教職
専門教育科目(経営学科),3,組織とマネジメント,情報処理II,,石田崇,,○,○,○,後期,2,教職
専門教育科目(経営学科),4,会計と企業財務,会計学,,田中久夫,○,○,○,○,前期,2,教職
専門教育科目(経営学科),4,会計と企業財務,税務会計,,田中久夫,,,○,○,後期,2,
専門教育科目(経営学科),4,会計と企業財務,会計監査論,,長谷川記央*,,,○,○,後期,2,
専門教育科目(経営学科),4,会計と企業財務,環境会計,,越智信仁,,,○,○,後期,2,
専門教育科目(経営学科),4,会計と企業財務,経営分析,,梅田宙,,○,○,○,前期,2,
専門教育科目(経営学科),4,会計と企業財務,管理会計論,,中村彰良,,○,○,○,後期,2,
専門教育科目(経営学科),4,会計と企業財務,原価計算論,,梅田宙,,○,○,○,後期,2,
専門教育科目(経営学科),4,会計と企業財務,中級簿記,,藻利衣恵,,○,○,○,前期,2,教職
専門教育科目(経営学科),4,会計と企業財務,上級簿記,,高橋克幸,,○,○,○,後期,2,教職
専門教育科目(経営学科),4,会計と企業財務,財務会計I,,藻利衣恵,,○,○,○,前期,2,教職
専門教育科目(経営学科),4,会計と企業財務,財務会計II,,藻利衣恵,,○,○,○,後期,2,教職
専門教育科目(経営学科),4,会計と企業財務,企業財務論Ⅰ,,阿部圭司,,○,○,○,前期,2,
専門教育科目(経営学科),4,会計と企業財務,企業財務論Ⅱ,,阿部圭司,,○,○,○,後期,2,
専門教育科目(経営学科),4,会計と企業財務,証券論,,袖山則宏*,○,○,○,○,後期,2,
専門教育科目(経営学科),5,経営と法,民法総則,,谷口聡,○,○,○,○,前期,2,教職
専門教育科目(経営学科),5,経営と法,物権法,,前田泰,○,○,○,○,後期,2,教職
専門教育科目(経営学科),5,経営と法,債権法総論,,谷口聡,○,○,○,○,前期,2,教職
専門教育科目(経営学科),5,経営と法,債権法各論,,谷口聡,○,○,○,○,後期,2,教職
専門教育科目(経営学科),5,経営と法,労働法,,花村俊広*,○,○,○,○,後期,2,
専門教育科目(経営学科),5,経営と法,労使関係法,,花村俊広*,○,○,○,○,後期,2,
専門教育科目(経営学科),5,経営と法,会社法I,,沈律,○,○,○,○,前期,2,教職
専門教育科目(経営学科),5,経営と法,会社法Ⅱ,,沈律,○,○,○,○,後期,2,教職
専門教育科目(経営学科),5,経営と法,商法総則・商行為,,沈律,○,○,○,○,後期,2,教職
専門教育科目(経営学科),5,経営と法,金融商品取引法,,廖海涛,,○,○,○,後期,2,教職
専門教育科目(経営学科),5,経営と法,租税法,,鈴木修,,,○,○,前期,2,
専門教育科目(経営学科),5,経営と法,知的財産法I,,澤田悠紀,○,○,○,○,前期,2,
専門教育科目(経営学科),5,経営と法,知的財産法II,,澤田悠紀,○,○,○,○,後期,2,
専門教育科目(経営学科),5,経営と法,法と経済学,,澤田悠紀,,○,○,○,後期,2,
